 ;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;
Vemund;24;33;24;33;24;24;36;28;40;23;
Vetle;99;134;121;110;112;131;133;131;128;135;
Victor;101;104;91;87;89;79;89;79;82;71;
Vidar;7;6;10;8;5;5;5;7;6;5;
Viggo;4;:;6;4;8;10;5;7;5;:;
Viktor;97;97;83;87;91;79;85;65;55;66;
Vilhelm;9;4;7;6;7;11;:;5;4;6;
Viljar;68;87;73;89;61;63;50;51;43;32;
Vilmer;10;17;11;14;9;6;6;5;7;4;
Vincent;34;35;34;24;32;23;19;26;22;18;
Vinjar;4;9;8;8;5;4;11;6;6;5;
Walter;9;12;8;5;:;:;5;:;:;:;
Wiktor;18;13;17;10;12;21;16;19;12;13;
Wilhelm;35;30;34;29;33;24;22;15;12;17;
William;474;448;439;417;397;469;449;413;298;277;
Wilmer;20;12;18;10;10;10;13;5;:;:;
Wojciech;8;11;5;9;10;12;8;6;:;:;
Yahya;7;11;13;13;9;:;13;12;4;6;
Yasin;8;12;7;9;9;14;5;12;14;:;
Yasir;10;7;5;:;8;6;4;7;5;:;
Yosef;:;13;9;10;10;5;6;8;9;:;
Younes;:;:;4;7;:;:;7;6;4;10;
Yousef;19;17;11;15;10;19;14;14;13;6;
Youssef;6;10;7;8;9;8;5;:;4;:;
Yusuf;27;24;22;28;23;19;14;12;14;13;
Ørjan;9;9;7;7;14;20;18;14;31;48;
Øystein;12;8;10;17;11;15;9;18;18;19;
Øyvind;:;18;18;15;16;22;26;26;45;29;
Ådne;10;7;13;23;17;27;27;22;38;23;
Åsmund;23;19;14;27;22;23;17;22;24;19;
Zakaria;14;13;5;13;9;12;17;13;7;:;
Zander;:;6;7;:;:;5;4;4;5;10;
