 ;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;
Solveig;66;83;77;105;103;113;77;104;85;103;
Sonia;10;11;7;12;7;12;8;8;4;:;
Sonja;37;44;35;32;22;17;19;15;16;8;
Sophia;93;110;102;95;90;63;50;33;39;27;
Sophie;51;51;56;54;50;48;62;41;38;39;
Stella;99;81;64;84;89;83;73;72;48;54;
Stina;10;12;9;7;12;11;23;22;37;31;
Stine;14;31;30;34;29;53;58;67;85;113;
Sumaya;16;13;14;11;21;18;22;17;13;8;
Sundus;7;4;:;:;:;12;:;4;:;7;
Sunniva;98;91;104;109;110;132;130;117;142;140;
Susanna;5;6;5;8;7;8;10;7;6;6;
Susanne;11;14;29;16;19;24;31;26;38;47;
Synne;78;85;103;124;132;102;90;109;129;130;
Synnøve;18;16;22;16;25;17;14;28;21;29;
Tale;14;22;15;10;12;11;10;17;14;15;
Tara;18;10;16;14;12;16;13;18;24;26;
Tea;10;10;14;6;10;13;14;16;13;19;
Teja;10;8;11;12;7;4;:;:;:;:;
Thale;43;30;44;22;23;31;18;26;21;20;
Thea;266;309;301;311;367;375;423;406;498;492;
Thelma;30;26;23;19;26;29;24;19;17;17;
Therese;10;11;20;16;25;28;30;30;28;34;
Thilde;17;10;7;23;8;13;7;13;11;10;
Tia;13;14;21;31;21;15;10;15;13;13;
Tilda;7;16;7;10;16;11;7;9;11;6;
Tilde;60;55;78;71;74;83;66;73;63;51;
Tilia;13;13;5;9;:;4;:;:;:;:;
Tilja;10;6;:;:;:;:;:;:;:;:;
Tilje;13;11;15;11;6;7;4;4;9;:;
Tilla;9;13;7;13;12;17;10;12;7;4;
Tina;9;6;11;25;19;24;32;41;38;47;
Tindra;11;15;13;13;11;16;19;12;13;13;
Tine;:;8;:;10;:;9;6;6;9;9;
Tiril;218;218;155;142;137;137;157;150;144;133;
Tirill;11;11;9;12;12;11;9;6;12;12;
Tomine;60;51;50;62;85;91;56;67;55;65;
Tone;10;7;6;8;8;11;21;21;16;13;
Tonje;11;10;6;11;9;26;23;33;28;44;
Tora;25;34;27;25;22;38;50;42;53;47;
Trine;5;4;6;:;5;7;16;7;18;12;
Tuva;193;185;228;216;246;249;254;261;287;251;
Tyra;11;11;10;9;6;21;21;22;28;23;
Ugne;4;5;6;4;7;13;7;6;:;4;
Ulla;6;4;6;5;9;7;10;:;5;6;
Ulrikke;15;17;16;17;24;16;18;16;15;22;
Una;27;29;26;19;31;27;24;40;34;34;
Urte;:;4;7;11;6;6;10;14;5;4;
Valentina;11;10;16;9;17;9;8;7;10;5;
Vanessa;34;39;44;54;51;37;44;32;41;29;
Vanja;:;:;6;:;5;6;6;5;10;5;
Vega;8;5;12;:;:;:;:;4;:;:;
Vera;27;31;26;18;17;14;18;27;16;11;
Veronica;10;16;11;10;21;11;15;17;15;16;
Veronika;4;9;9;13;8;13;9;10;9;7;
Veslemøy;7;8;4;12;9;17;15;11;12;8;
Victoria;160;184;254;224;190;230;224;194;215;177;
Vida;20;29;27;29;12;14;8;10;9;4;
Viktoria;34;52;53;52;42;58;44;52;42;44;
Vilde;213;257;235;254;236;277;289;279;312;291;
Vilja;50;58;60;54;54;63;41;31;26;35;
Vilje;35;29;40;39;32;23;19;22;15;6;
Villemo;6;5;11;5;6;9;8;6;5;4;
Vilma;38;53;36;50;41;40;39;34;49;25;
Viola;12;12;11;21;12;9;15;12;7;14;
Vivian;7;5;5;11;6;6;7;7;10;17;
Vår;6;6;8;7;7;8;15;14;11;12;
Vårin;20;17;24;22;24;10;16;18;12;14;
Weronika;6;:;4;6;8;6;14;9;12;15;
Wiktoria;17;12;15;11;22;29;27;37;33;36;
Wilma;38;31;30;28;34;33;24;32;33;23;
Yara;6;6;5;10;9;6;5;5;5;6;
Yasmin;11;15;18;26;27;15;20;17;27;21;
Ylva;81;73;68;68;74;64;62;46;60;54;
Yusra;:;10;11;8;11;22;9;7;10;5;
Åse;13;5;11;11;12;13;8;16;10;14;
Åshild;:;4;6;5;7;6;6;4;9;14;
Åsne;9;7;11;10;13;12;15;7;19;11;
Åsta;10;5;:;5;4;6;:;:;:;:;
Zahra;10;12;18;6;13;13;17;18;8;16;
Zainab;9;12;12;15;15;16;16;8;13;9;
Zara;20;18;5;12;9;18;15;16;15;16;
Zoe;6;10;15;5;13;9;11;8;5;7;
Zofia;16;12;15;17;13;13;15;8;12;7;
Zuzanna;16;29;35;28;26;25;36;27;33;16;
